subplot,plot,INDEX,date,VI,filename
ET1,ET,NDVI,2009-09-23,0.14209486888005182,NDVI_2009-09-23.tif
5P3,5P,NDVI,2009-09-23,0.12668792903423309,NDVI_2009-09-23.tif
5P4,5P,NDVI,2009-09-23,0.12134897708892822,NDVI_2009-09-23.tif
BB4,BB,NDVI,2009-09-23,0.13973171088625402,NDVI_2009-09-23.tif
BB3,BB,NDVI,2009-09-23,0.13906323630362749,NDVI_2009-09-23.tif
BB2,BB,NDVI,2009-09-23,0.14055827937342905,NDVI_2009-09-23.tif
BB1,BB,NDVI,2009-09-23,0.14671606667663739,NDVI_2009-09-23.tif
ST1,ST,NDVI,2009-09-23,0.13485616408288478,NDVI_2009-09-23.tif
ET2,ET,NDRE,2012-05-16,-0.094166859239339831,NDRE_2012-05-16.tif
5P5,5P,NDRE,2012-05-16,-0.091811877276216231,NDRE_2012-05-16.tif
5P1,5P,NDRE,2012-05-16,-0.079238612914369219,NDRE_2012-05-16.tif
5P2,5P,NDRE,2012-05-16,-0.07500733944930528,NDRE_2012-05-16.tif
ET1,ET,NDRE,2012-05-16,-0.093504635473856554,NDRE_2012-05-16.tif
5P3,5P,NDRE,2012-05-16,-0.084444263329108551,NDRE_2012-05-16.tif
5P4,5P,NDRE,2012-05-16,-0.090660750865936279,NDRE_2012-05-16.tif
BB4,BB,NDRE,2012-05-16,-0.09177434049984988,NDRE_2012-05-16.tif
BB3,BB,NDRE,2012-05-16,-0.082644923590123653,NDRE_2012-05-16.tif
BB2,BB,NDRE,2012-05-16,-0.088625187223607849,NDRE_2012-05-16.tif
BB1,BB,NDRE,2012-05-16,-0.080782080312138016,NDRE_2012-05-16.tif
ST1,ST,NDRE,2012-05-16,-0.085602537542581555,NDRE_2012-05-16.tif
ET2,ET,NDVI,2010-07-12,0.017823695748423535,NDVI_2010-07-12.tif
5P5,5P,NDVI,2010-07-12,-0.023257478140294552,NDVI_2010-07-12.tif
5P1,5P,NDVI,2010-07-12,0.021314863884375274,NDVI_2010-07-12.tif
5P2,5P,NDVI,2010-07-12,0.013051274036498446,NDVI_2010-07-12.tif
ET1,ET,NDVI,2010-07-12,0.004450887262534637,NDVI_2010-07-12.tif
5P3,5P,NDVI,2010-07-12,0.0031840888101820988,NDVI_2010-07-12.tif
5P4,5P,NDVI,2010-07-12,-0.032760273665189743,NDVI_2010-07-12.tif
BB4,BB,NDVI,2010-07-12,-0.015579594073214513,NDVI_2010-07-12.tif
BB3,BB,NDVI,2010-07-12,0.0016971908262348734,NDVI_2010-07-12.tif
BB2,BB,NDVI,2010-07-12,-0.0089334402820730411,NDVI_2010-07-12.tif
BB1,BB,NDVI,2010-07-12,-0.00040747624782101332,NDVI_2010-07-12.tif
ST1,ST,NDVI,2010-07-12,0.021864888389973202,NDVI_2010-07-12.tif
ET2,ET,NDVI,2012-02-26,0.088763256867726639,NDVI_2012-02-26.tif
5P5,5P,NDVI,2012-02-26,0.078140536057097573,NDVI_2012-02-26.tif
5P1,5P,NDVI,2012-02-26,0.078764813464312328,NDVI_2012-02-26.tif
5P2,5P,NDVI,2012-02-26,0.084679904736970596,NDVI_2012-02-26.tif
ET1,ET,NDVI,2012-02-26,0.089853591070725367,NDVI_2012-02-26.tif
5P3,5P,NDVI,2012-02-26,0.081652539161344365,NDVI_2012-02-26.tif
5P4,5P,NDVI,2012-02-26,0.072841757908463478,NDVI_2012-02-26.tif
BB4,BB,NDVI,2012-02-26,0.065413082128061961,NDVI_2012-02-26.tif
BB3,BB,NDVI,2012-02-26,0.068003329215571284,NDVI_2012-02-26.tif
BB2,BB,NDVI,2012-02-26,0.066595364023338668,NDVI_2012-02-26.tif
BB1,BB,NDVI,2012-02-26,0.076584402633749923,NDVI_2012-02-26.tif
ST1,ST,NDVI,2012-02-26,0.091219080239534373,NDVI_2012-02-26.tif
ET2,ET,NDRE,2012-02-26,0.0064359513033802312,NDRE_2012-02-26.tif
5P5,5P,NDRE,2012-02-26,0.0042693860928661054,NDRE_2012-02-26.tif
5P1,5P,NDRE,2012-02-26,-0.0015224901570556021,NDRE_2012-02-26.tif
5P2,5P,NDRE,2012-02-26,0.011307926125530349,NDRE_2012-02-26.tif
ET1,ET,NDRE,2012-02-26,0.010692053147627471,NDRE_2012-02-26.tif
5P3,5P,NDRE,2012-02-26,0.0080412076010058318,NDRE_2012-02-26.tif
5P4,5P,NDRE,2012-02-26,-0.0020986598683521152,NDRE_2012-02-26.tif
BB4,BB,NDRE,2012-02-26,0.0072873875923345193,NDRE_2012-02-26.tif
BB3,BB,NDRE,2012-02-26,-0.0015819777181604877,NDRE_2012-02-26.tif
BB2,BB,NDRE,2012-02-26,0.0098447955149987883,NDRE_2012-02-26.tif
BB1,BB,NDRE,2012-02-26,0.014257917240130431,NDRE_2012-02-26.tif
ST1,ST,NDRE,2012-02-26,0.013103657547617331,NDRE_2012-02-26.tif
