Site,Y,Species,DBH,D1,D2,D3,D4,D5,D6,HEIGHT,BB,,
PJC,2015,PIED,1.8,0,0,0,0,0,0,0.6,N,,
PJC,2015,PIED,1.8,0,0,0,0,0,0,1.9,N,,
PJC,2015,PIED,1.8,0,0,0,0,0,0,1.7,N,,
PJC,2015,PIED,1.8,2.6,1.1,0,0,0,0,2.4,Y,,
PJC,2014,PIED,1.9,2.4,2.3,0,0,0,0,2,Y,,
PJC,2014,PIED,1.9,2.05,0,0,0,0,0,2,Y,,
PJC,2014,PIED,1.9,2.2,0,0,0,0,0,2,Y,,
PJC,2014,PIED,1.9,0,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,1.9,0,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,1.9,0,0,0,0,0,0,2.1,Y,,
PJC,2014,PIED,1.9,0,0,0,0,0,0,2.4,Y,,
PJC,2014,PIED,1.9,0,0,0,0,0,0,1.8,Y,,
PJC,2015,PIED,1.9,0,0,0,0,0,0,2.15,Y,,
PJC,2015,PIED,1.9,0,0,0,0,0,0,1.8,Y,,
PJC,2015,PIED,1.9,0,0,0,0,0,0,2,N,,
PJC,2015,PIED,1.9,0,0,0,0,0,0,1.4,N,,
PJC,2015,PIED,1.9,0,0,0,0,0,0,1.7,Y,,
PJC,2015,PIED,1.9,0,0,0,0,0,0,0.5,Y,,
PJC,2015,PIED,1.9,0,0,0,0,0,0,0.6,Y,,
PJC,2014,PIED,2,2.8,2.8,0,0,0,0,2.1,Y,,
PJC,2014,PIED,2,0,0,0,0,0,0,2,Y,,
PJC,2014,PIED,2,0,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,2,2,0,0,0,0,0,2.3,Y,,
PJC,2014,PIED,2,1.8,0,0,0,0,0,1.6,Y,,
PJC,2014,PIED,2,0,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,2,0,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,2,0,0,0,0,0,0,2,Y,,
PJC,2014,PIED,2,0,0,0,0,0,0,0.5,N,,
PJC,2015,PIED,2,0,0,0,0,0,0,1.8,N,,
PJC,2015,PIED,2,1.6,1.7,2.5,0,0,0,1.8,N,,
PJC,2015,PIED,2,0,0,0,0,0,0,1.5,Y,,
PJC,2015,PIED,2,0,0,0,0,0,0,1.7,N,,
PJC,2015,PIED,2,0,0,0,0,0,0,0.6,Y,,
PJC,2015,PIED,2,1.6,0,0,0,0,0,2.1,Y,,
PJC,2015,PIED,2,0,0,0,0,0,0,1.5,Y,,
PJC,2015,PIED,2,3.5,5.3,0,0,0,0,1.9,Y,,
PJC,2015,PIED,2,3.6,0,0,0,0,0,2.5,Y,,
PJC,2015,PIED,2,0,0,0,0,0,0,1.9,N,,
PJC,2015,PIED,2,1.7,0,0,0,0,0,1.2,N,,
PJC,2015,PIED,2,1.5,0,0,0,0,0,1.9,Y,,
PJC,2015,PIED,2,0,0,0,0,0,0,1.6,Y,,
PJC,2014,PIED,2.05,0,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,2.1,0,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,2.1,1.9,0,0,0,0,0,2,Y,,
PJC,2014,PIED,2.1,3.8,0,0,0,0,0,2.4,Y,,
PJC,2014,PIED,2.1,0,0,0,0,0,0,1.5,Y,,
PJC,2014,PIED,2.1,0,0,0,0,0,0,2.1,Y,,
PJC,2014,PIED,2.1,0,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,2.1,2.4,0,0,0,0,0,2.1,N,,
PJC,2015,PIED,2.1,0,0,0,0,0,0,0.6,N,,
PJC,2015,PIED,2.1,0,0,0,0,0,0,0.45,N,,
PJC,2015,PIED,2.1,0,0,0,0,0,0,1.8,Y,,
PJC,2015,PIED,2.1,3.1,0,0,0,0,0,2.2,Y,,
PJC,2015,PIED,2.1,0,0,0,0,0,0,1.8,N,,
PJC,2015,PIED,2.1,0,0,0,0,0,0,0.65,Y,,
PJC,2015,PIED,2.1,0,0,0,0,0,0,2,Y,,
PJC,2015,PIED,2.1,0,0,0,0,0,0,0.4,Y,,
PJC,2014,PIED,2.15,2.6,2.7,2.1,0,0,0,2,Y,,
PJC,2014,PIED,2.2,2.1,2.4,0,0,0,0,1.9,Y,,
PJC,2014,PIED,2.2,1.8,0,0,0,0,0,1.45,Y,,
PJC,2014,PIED,2.2,0,0,0,0,0,0,2.1,Y,,
PJC,2014,PIED,2.2,2.3,3.2,0,0,0,0,2,Y,,
PJC,2014,PIED,2.2,0,0,0,0,0,0,0.8,N,,
PJC,2014,PIED,2.2,3.25,0,0,0,0,0,1.8,Y,,
PJC,2014,PIED,2.2,0,0,0,0,0,0,2.4,Y,,
PJC,2015,PIED,2.2,0,0,0,0,0,0,2.1,Y,,
PJC,2015,PIED,2.2,0,0,0,0,0,0,1.2,N,,
PJC,2015,PIED,2.2,0,0,0,0,0,0,1.8,N,,
PJC,2015,PIED,2.2,0,0,0,0,0,0,1.7,Y,,
PJC,2015,PIED,2.2,0,0,0,0,0,0,1.4,N,,
PJC,2015,PIED,2.2,0,0,0,0,0,0,1.7,N,,
PJC,2015,PIED,2.2,0,0,0,0,0,0,0.4,N,,
PJC,2015,PIED,2.2,4.7,0,0,0,0,0,0.9,N,,
PJC,2015,PIED,2.2,4.1,0,0,0,0,0,2.1,N,,
PJC,2015,PIED,2.2,0,0,0,0,0,0,1.9,Y,,
PJC,2015,PIED,2.2,1.1,0,0,0,0,0,1.2,Y,,
PJC,2015,PIED,2.2,0,0,0,0,0,0,1.9,Y,,
