BM_vol,BM_vol_dens,BM_vol_dens_sd,BM_vol_sd,ESD_vol,ESD_vol_dens,ESD_vol_dens_sd,ESD_vol_sd,region
129.6819316364,263.6640672164,48.9206313839,26.9911402909,35.8095940563,50.922892941,4.5285045619,4.1885613418,7840
125.1596909738,229.6706983993,28.2089827544,18.9108942157,36.7907282113,48.2521146951,3.3603530843,2.590776748,4874
122.237748251,253.9728052149,56.0786675188,56.8684369607,34.328590238,49.6203937357,5.3428289797,7.8641748592,9905
124.3242174549,241.7402541953,45.5647619016,14.5107936632,36.5312492519,48.9436751658,4.6209571368,2.4200769514,4815
122.8064369571,220.9597821508,29.9204269627,35.7734758387,36.4959094515,47.4907472919,3.3511195256,5.3394482483,3160
283.6297500318,264.105741295,23.4624827692,28.090131831,54.7144041171,52.1420224839,2.9455712384,2.7211984,10294
115.2603052715,223.9882012954,44.9409922993,44.2843534212,35.2332892654,48.1092310418,4.2366344198,5.1785087808,9217
142.2895269779,252.3114376238,64.1243377002,37.3330535924,38.1705602028,49.5698552369,5.4165566254,5.3616898999,42937
205.7760144871,236.333930054,42.6702132553,28.4341484804,45.0816978642,48.5940776072,3.67114274,3.4638091858,11932
180.7779683337,245.2937120114,37.5515827696,49.0603266228,43.7990200989,49.22485473,4.135890259,5.6166860283,7542
150.9934415694,211.8162778406,30.1607298113,17.6123053937,39.1708834619,46.6694482184,3.2071314963,2.1379811916,18133
197.6509819382,261.6735356971,45.3252453382,41.3154042285,45.3439891735,50.4535386737,4.1932992448,3.8658953803,8384
136.3734172225,240.3542804849,42.4323907973,26.9982712093,37.1834371455,48.9917580337,3.9241666,3.5083038958,14084
117.6445202905,223.3266124931,40.5651430815,33.4926054776,35.4457133065,48.1814029427,3.8072872963,4.4464814702,40339
100.9512166832,217.407675494,22.7042912706,31.6574950147,34.0296124931,46.0666543767,2.9530773682,4.6682699129,11377
177.2728419017,231.2608306822,34.3016197111,39.0338732169,43.3352850346,48.6746051623,3.0443046447,4.45157155,7846
289.3561054972,262.2152315602,33.4469905638,33.4274611776,54.7957558854,51.936752186,3.7764012715,3.5431741061,8587
153.434405952,239.6578057561,51.3779582927,39.9332243991,39.5707832221,49.37176701,5.1899995028,4.012497729,43327
151.7659625753,250.8055453342,41.5946342697,36.8988528014,40.4230025181,51.6930050806,3.8037180765,4.8242423021,7372
186.2157976764,231.3436323708,35.2403630264,37.1457904674,43.5357071948,48.5253721021,3.5788745442,4.5210085648,9271
160.1394059546,207.8217512663,29.9432316568,41.9772237496,41.8398861542,45.9069934269,3.5589542635,4.7266080974,7327
293.7648400157,227.6669888937,29.1180898784,25.3730521856,54.1226694909,49.4177947328,3.694944416,2.909068664,8307
133.6850464597,219.7326685778,14.7747801043,48.3642467549,36.3071686345,47.1939438032,1.4181737775,5.3770051193,7451
158.7781083265,239.1521291231,29.5531432788,36.0698385978,39.9845617682,49.4273224912,2.6047882094,3.9002338821,5883
111.7483021752,209.3322265356,17.0140724196,32.9875271998,34.4995839744,45.6730116406,2.1279927003,4.5711244491,40374
113.2699083288,208.2913576285,46.8424728309,23.6499656306,34.2433334134,46.7383966704,4.5516360399,4.5359015887,22188
127.6174817635,235.568755923,28.2277683865,26.0049745114,37.1299260669,49.0662692806,2.6618917246,3.3618103902,6786
255.1558538683,230.5951193669,20.4298208837,52.0525629486,51.2466358109,48.7337167507,2.7160432936,4.8938657821,10005
161.5715158734,218.4452084834,30.1231156262,43.7793170818,40.9245898054,47.5858237752,2.8074493801,5.4279841143,8541
137.3782528992,238.8232914501,45.9419881848,32.4924161268,37.5956317132,49.7348816419,4.381846629,4.5745476749,16131
181.4853460198,218.6630601551,26.7177786906,43.5481325634,44.1319228093,48.3649297788,3.1992639935,4.7925105657,16656
176.4813331246,229.6097619465,37.7290693581,36.0674820472,42.1613301318,48.0657061723,3.6608954188,3.7836564802,15260
147.521955528,219.795872629,27.3207680708,31.1322650857,38.9914722211,47.9058009158,3.070665538,4.2718379767,7360
194.1686596822,232.764101365,19.9926823919,26.1296291004,44.3297890442,48.8964920125,2.0972150807,2.8262448005,43736
135.9070448792,234.0561810276,44.3143134231,29.9532050788,36.6236753511,49.5121926211,4.2598903447,3.9389673783,44915
108.2981480251,234.5513858142,23.1869712556,33.0849132847,35.7284288237,49.6116242006,2.703831443,5.725609231,38639
109.6542331093,202.5386080653,38.1651356745,28.7828111798,33.5012810078,46.1973763124,4.2469516923,4.2664457462,15879
257.9303096547,258.9658367303,32.7562479826,47.5622391135,50.7347317092,51.4887361315,3.5613509332,4.7891530848,9670
217.4380878912,260.201660058,25.0284333452,25.2636423355,46.80257597,51.2230759101,2.2648919543,3.1683954038,9237
149.877102644,215.4118484499,21.6293951471,55.7518127314,39.5687737681,47.2476396036,2.1773685078,6.2827510511,18582
150.5728621114,221.9055734754,32.1969261923,46.3297744906,39.0491341752,48.039105497,3.8068582771,6.234879307,13772
117.7661290739,240.5671866908,42.5382351454,34.9969975146,34.9814806725,48.8365695577,4.0433710372,5.5879170794,32836
183.7220483575,247.9624756502,47.5403816075,31.215205366,43.3679899467,50.6741920338,4.4818566073,3.9401445635,7152
259.0782130285,264.1827723014,35.8463327259,49.4036898811,50.8153456584,52.4403919664,3.4773712429,4.6215543962,6740
136.6644864596,225.2173430322,32.1316286678,32.6618415361,37.1815190637,48.3969441182,3.6842869885,4.0243539649,40931
141.6074654569,234.9279344109,36.7424724207,14.5835226743,38.7370187642,49.2648463863,3.6824565471,1.9903751479,43875
126.5784254198,204.1253279941,30.7271201953,23.9573327376,36.2763646448,46.0605736359,3.7200823162,3.1777426107,40501
197.0576387314,225.9162643739,18.7318576433,35.6145047563,45.2933039314,48.2330281906,2.1830631275,5.2018316049,6398
98.5453946336,225.2718249038,33.0466381768,21.5719656036,33.5336016969,48.5526128335,3.57958572,4.6851858227,27177
106.8831889452,216.6439848564,27.927822419,19.8029987423,33.3284422363,47.9101021531,2.8308071765,3.5791011428,14226
128.7585027148,231.4455816538,34.0562054454,32.376968681,37.0274873326,48.516493883,3.2470922933,4.2664367134,1581
144.9761386763,213.3666460251,40.7881060748,26.5709069517,37.3680180485,47.6001595567,4.5351132862,5.0262012548,2582
134.8582478125,216.3731307595,32.7206409083,14.3706476517,38.1081375592,48.5108628576,4.4194089983,1.9323446076,3500
254.1818935345,239.2996548502,34.3503492272,44.8513228566,50.4948503235,49.6937818508,3.5667039393,4.6035535178,43259
172.939114776,212.9876339423,30.7027872826,48.0729238808,41.5744394974,46.7637847769,3.1993861047,5.5635228281,5408
110.2456108618,198.568807007,33.2190095464,37.5866913062,35.5496749655,45.8669406583,3.6302769941,5.2353245984,9504
159.6233480855,212.9282356564,25.1865995994,30.5798650549,41.2459743525,46.6079364219,2.518317342,4.3294474353,7027
161.7640992833,225.4090574036,52.1118139445,32.7905628878,41.1347268868,47.742848709,5.1233956259,3.7280790152,10565
176.2303981861,242.1194433736,35.418705408,38.9295943009,42.4721317035,50.0094436684,3.2863976734,4.0063428515,25684
165.3641757011,211.6502445025,28.7398708662,27.2112461728,42.2480741249,47.9734455465,3.6684861766,3.3633388695,5332
147.5426990514,221.7308274307,23.924326942,19.2380394563,38.5540838528,46.3388776376,3.4542457443,2.6922239874,27432
167.9295984708,227.0337840886,40.4836336689,30.9013120757,40.9444453104,48.6588082059,4.3748808311,3.8793476649,10992
179.1700640648,223.4589740188,33.1884794766,37.2741129915,42.3121469376,47.9281474642,2.9362124493,4.3148077158,11872
125.738814582,204.8756255789,22.4181153788,31.1301223011,36.0992336504,45.6158145721,2.7205171634,5.0716549146,37719
235.2745671891,262.4037112433,39.0538664677,35.3177396105,48.0986315346,51.3206137085,4.9241554597,4.0617497148,9147
191.6730008783,245.2421468394,58.6088386976,34.0385859695,42.9222482469,51.7511515321,5.7697074992,4.5649789987,9211
122.2610604753,203.4364247485,17.9558719857,32.3499678527,36.6113983249,46.0725279184,2.3171777117,4.8771452427,7788
108.6127807334,212.6288797085,47.4674192677,37.0877333126,34.0232979437,46.9246835614,4.4219755155,5.1874457922,22470
139.5420143876,221.8368760411,43.7424684425,25.341119143,38.2435635763,46.6164636177,4.4504816227,3.0804369734,7086
155.8434170373,259.4688617174,37.3901550268,33.9076794186,40.4352023955,50.3307039649,3.0605810205,4.5216474094,13320
153.6785690768,220.9578598862,31.0067515809,38.1838486544,37.7246073648,47.4131983833,3.3621319169,5.2052116877,8572
128.9334931761,221.9389498856,21.5391897022,29.7161076036,36.3391129847,48.1031210709,2.3161342496,3.4376224449,9059
175.5774758801,230.4257414285,47.5091155924,37.4497278467,42.9798291852,47.7327797572,5.1162766846,4.0519910726,10922
168.230680389,232.9930969897,43.854502302,28.358502105,40.351888104,48.2652256012,5.9248367459,4.3572909572,5314
129.9661137333,192.556784486,35.3526253432,27.3296905776,37.5602647175,45.8204029481,3.8536081815,4.0250714733,7250
137.2687624899,210.9009689996,31.5585642161,26.0961752702,37.3854503352,47.2919443925,3.6335917396,3.120211737,41472
147.7524187405,220.9286316182,40.6219457694,33.3321965394,39.1702785569,47.0671590461,4.3344681191,3.895181179,3613
133.2904104768,193.140960222,26.6759301965,26.1932918723,37.4197131997,44.9235465877,2.6820289123,3.4901790029,1556
307.5310277486,262.2662947306,59.333100704,55.919404875,54.8140360828,52.8503547078,5.8184321037,4.6957224044,7248
167.6982251307,203.5634736647,26.4700512267,34.6971921005,40.8534985784,45.3808299153,2.8261496731,3.7031038566,43233
126.0416633185,229.0515738624,39.6577606759,31.3435760947,34.5938590693,47.7060986268,3.7222557172,4.948672557,17371
131.6607160743,211.473242714,36.7945056024,35.0787262609,35.2309637758,47.1043674605,4.1307822495,5.2530980253,15291
127.8044197774,231.5973370132,47.4078806989,35.0046222548,37.5346428214,48.0808350045,5.0038860609,5.0400536537,2936
199.189026275,220.7927511589,42.5063873468,31.1748946465,44.6651317856,46.1716841409,4.0681643953,3.8299743841,9190
161.440563059,206.7057392688,41.9002703295,28.2455841103,40.4095392037,48.0101122368,4.9601836235,3.2126039193,7912
137.8034538103,229.2594674151,50.9639543424,24.1150145143,36.5632219377,47.5574589869,4.5833542912,4.5705129981,8984
159.5571726284,218.2977119482,45.8427837602,30.8872965066,40.2751014025,47.5794839718,5.0210842017,3.9068585228,29422
116.391392408,218.3777514467,46.0892117329,26.6117152072,35.314812688,46.712499261,4.7399317489,4.4873313174,34615
